IOCTL_CHANGER_EXCHANGE_MEDIUM	0x304020
IOCTL_CHANGER_GET_ELEMENT_STATUS	0x30c014
IOCTL_CHANGER_GET_PARAMETERS	0x304000
IOCTL_CHANGER_GET_PRODUCT_DATA	0x304008
IOCTL_CHANGER_GET_STATUS	0x304004
IOCTL_CHANGER_INITIALIZE_ELEMENT_STATUS	0x304018
IOCTL_CHANGER_MOVE_MEDIUM	0x304024
IOCTL_CHANGER_QUERY_VOLUME_TAGS	0x30c02c
IOCTL_CHANGER_REINITIALIZE_TRANSPORT	0x304028
IOCTL_CHANGER_SET_ACCESS	0x30c010
IOCTL_CHANGER_SET_POSITION	0x30401c
IOCTL_DISK_CHECK_VERIFY	0x74800
IOCTL_DISK_CONTROLLER_NUMBER	0x70044
IOCTL_DISK_COPY_DATA	0x7c064
IOCTL_DISK_CREATE_DISK	0x7c058
IOCTL_DISK_DELETE_DRIVE_LAYOUT	0x7c100
IOCTL_DISK_EJECT_MEDIA	0x74808
IOCTL_DISK_FIND_NEW_DEVICES	0x74818
IOCTL_DISK_FORMAT_DRIVE	0x7c3cc
IOCTL_DISK_FORMAT_TRACKS	0x7c018
IOCTL_DISK_FORMAT_TRACKS_EX	0x7c02c
IOCTL_DISK_GET_CACHE_INFORMATION	0x740d4
IOCTL_DISK_GET_CACHE_SETTING	0x740e0
IOCTL_DISK_GET_DISK_ATTRIBUTES	0x700f0
IOCTL_DISK_GET_DRIVE_GEOMETRY	0x70000
IOCTL_DISK_GET_DRIVE_GEOMETRY_EX	0x700a0
IOCTL_DISK_GET_DRIVE_LAYOUT	0x7400c
IOCTL_DISK_GET_DRIVE_LAYOUT_EX	0x70050
IOCTL_DISK_GET_LENGTH_INFO	0x7405c
IOCTL_DISK_GET_MEDIA_TYPES	0x70c00
IOCTL_DISK_GET_PARTITION_ATTRIBUTES	0x700e8
IOCTL_DISK_GET_PARTITION_INFO	0x74004
IOCTL_DISK_GET_PARTITION_INFO_EX	0x70048
IOCTL_DISK_GET_SAN_SETTINGS	0x74200
IOCTL_DISK_GET_SNAPSHOT_INFO	0x74208
IOCTL_DISK_GET_WRITE_CACHE_STATE	0x740dc
IOCTL_DISK_GROW_PARTITION	0x7c0d0
IOCTL_DISK_HISTOGRAM_DATA	0x70034
IOCTL_DISK_HISTOGRAM_RESET	0x70038
IOCTL_DISK_HISTOGRAM_STRUCTURE	0x70030
IOCTL_DISK_INTERNAL_CLEAR_VERIFY	0x70407
IOCTL_DISK_INTERNAL_SET_NOTIFY	0x70408
IOCTL_DISK_INTERNAL_SET_VERIFY	0x70403
IOCTL_DISK_IS_CLUSTERED	0x700f8
IOCTL_DISK_IS_WRITABLE	0x70024
IOCTL_DISK_LOAD_MEDIA	0x7480c
IOCTL_DISK_LOGGING	0x70028
IOCTL_DISK_MEDIA_REMOVAL	0x74804
IOCTL_DISK_PERFORMANCE	0x70020
IOCTL_DISK_PERFORMANCE_OFF	0x70060
IOCTL_DISK_REASSIGN_BLOCKS	0x7c01c
IOCTL_DISK_REASSIGN_BLOCKS_EX	0x7c0a4
IOCTL_DISK_RELEASE	0x74814
IOCTL_DISK_REQUEST_DATA	0x70040
IOCTL_DISK_REQUEST_STRUCTURE	0x7003c
IOCTL_DISK_RESERVE	0x74810
IOCTL_DISK_RESET_SNAPSHOT_INFO	0x7c210
IOCTL_DISK_SENSE_DEVICE	0x703e0
IOCTL_DISK_SET_CACHE_INFORMATION	0x7c0d8
IOCTL_DISK_SET_CACHE_SETTING	0x7c0e4
IOCTL_DISK_SET_DISK_ATTRIBUTES	0x7c0f4
IOCTL_DISK_SET_DRIVE_LAYOUT	0x7c010
IOCTL_DISK_SET_DRIVE_LAYOUT_EX	0x7c054
IOCTL_DISK_SET_PARTITION_ATTRIBUTES	0x7c0ec
IOCTL_DISK_SET_PARTITION_INFO	0x7c008
IOCTL_DISK_SET_PARTITION_INFO_EX	0x7c04c
IOCTL_DISK_SET_SAN_SETTINGS	0x7c204
IOCTL_DISK_SET_SNAPSHOT_INFO	0x7c20c
IOCTL_DISK_SIMBAD	0x7d000
IOCTL_DISK_UPDATE_DRIVE_SIZE	0x7c0c8
IOCTL_DISK_UPDATE_PROPERTIES	0x70140
IOCTL_DISK_VERIFY	0x70014
IOCTL_DOT4_ADD_ACTIVITY_BROADCAST	0x3a2014
IOCTL_DOT4_CLOSE_CHANNEL	0x3a2008
IOCTL_DOT4_CREATE_SOCKET	0x3a2022
IOCTL_DOT4_DESTROY_SOCKET	0x3a202a
IOCTL_DOT4_LAST	0x80a
IOCTL_DOT4_OPEN_CHANNEL	0x3a2006
IOCTL_DOT4_READ	0x3a200e
IOCTL_DOT4_REMOVE_ACTIVITY_BROADCAST	0x3a2018
IOCTL_DOT4_WAIT_ACTIVITY_BROADCAST	0x3a201e
IOCTL_DOT4_WAIT_FOR_CHANNEL	0x3a2026
IOCTL_DOT4_WRITE	0x3a2011
IOCTL_DVD_END_SESSION	0x33500c
IOCTL_DVD_GET_REGION	0x335014
IOCTL_DVD_READ_KEY	0x335004
IOCTL_DVD_READ_STRUCTURE	0x335140
IOCTL_DVD_SEND_KEY	0x335008
IOCTL_DVD_SEND_KEY2	0x33d018
IOCTL_DVD_SET_READ_AHEAD	0x335010
IOCTL_DVD_START_SESSION	0x335000
IOCTL_EHSTOR_DEVICE_ENUMERATE_PDOS	0x2d1410
IOCTL_EHSTOR_DEVICE_GET_AUTHZ_STATE	0x2d1408
IOCTL_EHSTOR_DEVICE_SET_AUTHZ_STATE	0x2d1404
IOCTL_EHSTOR_DEVICE_SILO_COMMAND	0x2d140c
IOCTL_ENTER_PRIORITY_RECEIVE	0x0000
IOCTL_FSVIDEO_COPY_FRAME_BUFFER	0x340800
IOCTL_FSVIDEO_REVERSE_MOUSE_POINTER	0x340808
IOCTL_FSVIDEO_SET_CURRENT_MODE	0x34080c
IOCTL_FSVIDEO_SET_CURSOR_POSITION	0x340814
IOCTL_FSVIDEO_SET_SCREEN_INFORMATION	0x340810
IOCTL_FSVIDEO_WRITE_TO_FRAME_BUFFER	0x340804
IOCTL_GET_CHANNEL_ALIGN_RQST	0x80002014
IOCTL_GET_DEVICE_DESCRIPTOR	0x80002018
IOCTL_GET_HCD_DRIVERKEY_NAME	0x220424
IOCTL_GET_NUM_DEVICE_INPUT_BUFFERS	0xb01a0
